Cogs,Cogs - Split 2,Country,Date,Discount Band,Discounts,Gross Sales,Manufacturing Price,Month Name,Month Number,Product,Profit,Sale Price,Sales,Segment,Units Sold,Year,Year (copy),Avg Discounts ,COGS to Sales,Discounts - Split 2,Gross Sales - Split 2,Profit - Split 2,Profit Margin,Sales - Split 2,Total Discounts,Total Revenue,Units Sold - Split 2
" $5,715.00 ",5715,United States of America,10-01-2014,None,$-," $8,001.00 ",$10.00,October,10,Paseo," $2,286.00 ",$7.00," $8,001.00 ",Government," $1,143.00 ",2014,2014,,0.714285714,,8001,2286,0.285714286,8001,,8001,1143
" $448,500.00 ",448500,Canada,11-01-2013,None,$-," $603,750.00 ",$10.00,November,11,Paseo," $155,250.00 ",$350.00," $603,750.00 ",Government," $1,725.00 ",2013,2013,,0.742857143,,603750,155250,0.257142857,603750,,603750,1725
" $2,736.00 ",2736,United States of America,11-01-2013,None,$-," $10,944.00 ",$10.00,November,11,Paseo," $8,208.00 ",$12.00," $10,944.00 ",Channel Partners,$912.00,2013,2013,,0.25,,10944,8208,0.75,10944,,10944,912
" $21,520.00 ",21520,Canada,12-01-2013,None,$-," $32,280.00 ",$10.00,December,12,Paseo," $10,760.00 ",$15.00," $32,280.00 ",Midmarket," $2,152.00 ",2013,2013,,0.666666667,,32280,10760,0.333333333,32280,,32280,2152
" $18,170.00 ",18170,Canada,12-01-2014,None,$-," $36,340.00 ",$10.00,December,12,Paseo," $18,170.00 ",$20.00," $36,340.00 ",Government," $1,817.00 ",2014,2014,,0.5,,36340,18170,0.5,36340,,36340,1817
" $393,380.00 ",393380,Germany,12-01-2014,None,$-," $529,550.00 ",$10.00,December,12,Paseo," $136,170.00 ",$350.00," $529,550.00 ",Government," $1,513.00 ",2014,2014,,0.742857143,,529550,136170,0.257142857,529550,,529550,1513
" $7,465.00 ",7465,Mexico,01-01-2014,None,$-," $10,451.00 ",$120.00,January,1,Velo," $2,986.00 ",$7.00," $10,451.00 ",Government," $1,493.00 ",2014,2014,,0.714285714,,10451,2986,0.285714286,10451,,10451,1493
" $216,480.00 ",216480,France,02-01-2014,None,$-," $225,500.00 ",$120.00,February,2,Velo," $9,020.00 ",$125.00," $225,500.00 ",Enterprise," $1,804.00 ",2014,2014,,0.96,,225500,9020,0.04,225500,,225500,1804
" $6,483.00 ",6483,Germany,03-01-2014,None,$-," $25,932.00 ",$120.00,March,3,Velo," $19,449.00 ",$12.00," $25,932.00 ",Channel Partners," $2,161.00 ",2014,2014,,0.25,,25932,19449,0.75,25932,,25932,2161
" $261,560.00 ",261560,Germany,06-01-2014,None,$-," $352,100.00 ",$120.00,June,6,Velo," $90,540.00 ",$350.00," $352,100.00 ",Government," $1,006.00 ",2014,2014,,0.742857143,,352100,90540,0.257142857,352100,,352100,1006
" $4,635.00 ",4635,Germany,06-01-2014,None,$-," $18,540.00 ",$120.00,June,6,Velo," $13,905.00 ",$12.00," $18,540.00 ",Channel Partners," $1,545.00 ",2014,2014,,0.25,,18540,13905,0.75,18540,,18540,1545
" $338,520.00 ",338520,United States of America,08-01-2014,None,$-," $352,625.00 ",$120.00,August,8,Velo," $14,105.00 ",$125.00," $352,625.00 ",Enterprise," $2,821.00 ",2014,2014,,0.96,,352625,14105,0.04,352625,,352625,2821
" $41,400.00 ",41400,Canada,10-01-2013,None,$-," $43,125.00 ",$120.00,October,10,Velo," $1,725.00 ",$125.00," $43,125.00 ",Enterprise,$345.00,2013,2013,,0.96,,43125,1725,0.04,43125,,43125,345
" $500,250.00 ",500250,Canada,02-01-2014,None,$-," $600,300.00 ",$250.00,February,2,VTT," $100,050.00 ",$300.00," $600,300.00 ",Small Business," $2,001.00 ",2014,2014,,0.833333333,,600300,100050,0.166666667,600300,,600300,2001
" $8,514.00 ",8514,Germany,04-01-2014,None,$-," $34,056.00 ",$250.00,April,4,VTT," $25,542.00 ",$12.00," $34,056.00 ",Channel Partners," $2,838.00 ",2014,2014,,0.25,,34056,25542,0.75,34056,,34056,2838
" $21,780.00 ",21780,France,06-01-2014,None,$-," $32,670.00 ",$250.00,June,6,VTT," $10,890.00 ",$15.00," $32,670.00 ",Midmarket," $2,178.00 ",2014,2014,,0.666666667,,32670,10890,0.333333333,32670,,32670,2178
" $8,880.00 ",8880,Germany,06-01-2014,None,$-," $13,320.00 ",$250.00,June,6,VTT," $4,440.00 ",$15.00," $13,320.00 ",Midmarket,$888.00,2014,2014,,0.666666667,,13320,4440,0.333333333,13320,,13320,888
" $397,020.00 ",397020,France,09-01-2013,None,$-," $534,450.00 ",$250.00,September,9,VTT," $137,430.00 ",$350.00," $534,450.00 ",Government," $1,527.00 ",2013,2013,,0.742857143,,534450,137430,0.257142857,534450,,534450,1527
" $537,750.00 ",537750,France,09-01-2014,None,$-," $645,300.00 ",$250.00,September,9,VTT," $107,550.00 ",$300.00," $645,300.00 ",Small Business," $2,151.00 ",2014,2014,,0.833333333,,645300,107550,0.166666667,645300,,645300,2151
" $18,170.00 ",18170,Canada,12-01-2014,None,$-," $36,340.00 ",$250.00,December,12,VTT," $18,170.00 ",$20.00," $36,340.00 ",Government," $1,817.00 ",2014,2014,,0.5,,36340,18170,0.5,36340,,36340,1817
" $715,000.00 ",715000,France,02-01-2014,None,$-," $962,500.00 ",$260.00,February,2,Amarilla," $247,500.00 ",$350.00," $962,500.00 ",Government," $2,750.00 ",2014,2014,,0.742857143,,962500,247500,0.257142857,962500,,962500,2750
" $5,859.00 ",5859,United States of America,04-01-2014,None,$-," $23,436.00 ",$260.00,April,4,Amarilla," $17,577.00 ",$12.00," $23,436.00 ",Channel Partners," $1,953.00 ",2014,2014,,0.25,,23436,17577,0.75,23436,,23436,1953
" $506,340.00 ",506340,Germany,04-01-2014,None,$-," $527,437.50 ",$260.00,April,4,Amarilla," $21,097.50 ",$125.00," $527,437.50 ",Enterprise," $4,219.50 ",2014,2014,,0.96,,527437.5,21097.5,0.04,527437.5,,527437.5,4219.5
" $18,990.00 ",18990,France,06-01-2014,None,$-," $37,980.00 ",$260.00,June,6,Amarilla," $18,990.00 ",$20.00," $37,980.00 ",Government," $1,899.00 ",2014,2014,,0.5,,37980,18990,0.5,37980,,37980,1899
" $8,430.00 ",8430,Germany,07-01-2014,None,$-," $11,802.00 ",$260.00,July,7,Amarilla," $3,372.00 ",$7.00," $11,802.00 ",Government," $1,686.00 ",2014,2014,,0.714285714,,11802,3372,0.285714286,11802,,11802,1686
" $6,423.00 ",6423,United States of America,08-01-2014,None,$-," $25,692.00 ",$260.00,August,8,Amarilla," $19,269.00 ",$12.00," $25,692.00 ",Channel Partners," $2,141.00 ",2014,2014,,0.25,,25692,19269,0.75,25692,,25692,2141
" $5,715.00 ",5715,United States of America,10-01-2014,None,$-," $8,001.00 ",$260.00,October,10,Amarilla," $2,286.00 ",$7.00," $8,001.00 ",Government," $1,143.00 ",2014,2014,,0.714285714,,8001,2286,0.285714286,8001,,8001,1143
" $6,150.00 ",6150,United States of America,12-01-2014,None,$-," $9,225.00 ",$260.00,December,12,Amarilla," $3,075.00 ",$15.00," $9,225.00 ",Midmarket,$615.00,2014,2014,,0.666666667,,9225,3075,0.333333333,9225,,9225,615
" $19,725.00 ",19725,France,01-01-2014,Low,$276.15," $27,615.00 ",$10.00,January,1,Paseo," $7,613.85 ",$7.00," $27,338.85 ",Government," $3,945.00 ",2014,2014,276.15,0.721500722,276.15,27615,7613.85,0.278499278,27338.85,276.15,27615,3945
" $22,960.00 ",22960,France,02-01-2014,Low,$344.40," $34,440.00 ",$10.00,February,2,Paseo," $11,135.60 ",$15.00," $34,095.60 ",Midmarket," $2,296.00 ",2014,2014,344.4,0.673400673,344.4,34440,11135.6,0.326599327,34095.6,344.4,34440,2296
" $5,150.00 ",5150,France,05-01-2014,Low,$72.10," $7,210.00 ",$10.00,May,5,Paseo," $1,987.90 ",$7.00," $7,137.90 ",Government," $1,030.00 ",2014,2014,72.1,0.721500722,72.1,7210,1987.9,0.278499278,7137.9,72.1,7210,1030
" $3,195.00 ",3195,France,11-01-2014,Low,$44.73," $4,473.00 ",$120.00,November,11,Velo," $1,233.27 ",$7.00," $4,428.27 ",Government,$639.00,2014,2014,44.73,0.721500722,44.73,4473,1233.27,0.278499278,4428.27,44.73,4473,639
" $6,630.00 ",6630,Canada,03-01-2014,Low,$92.82," $9,282.00 ",$250.00,March,3,VTT," $2,559.18 ",$7.00," $9,189.18 ",Government," $1,326.00 ",2014,2014,92.82,0.721500722,92.82,9282,2559.18,0.278499278,9189.18,92.82,9282,1326
" $5,574.00 ",5574,United States of America,02-01-2014,Low,$222.96," $22,296.00 ",$3.00,February,2,Carretera," $16,499.04 ",$12.00," $22,073.04 ",Channel Partners," $1,858.00 ",2014,2014,222.96,0.252525253,222.96,22296,16499.04,0.747474747,22073.04,222.96,22296,1858
" $314,600.00 ",314600,Mexico,03-01-2014,Low," $4,235.00 "," $423,500.00 ",$3.00,March,3,Carretera," $104,665.00 ",$350.00," $419,265.00 ",Government," $1,210.00 ",2014,2014,4235,0.750360750,4235,423500,104665,0.249639250,419265,4235,423500,1210
" $12,645.00 ",12645,United States of America,07-01-2014,Low,$177.03," $17,703.00 ",$3.00,July,7,Carretera," $4,880.97 ",$7.00," $17,525.97 ",Government," $2,529.00 ",2014,2014,177.03,0.721500722,177.03,17703,4880.97,0.278499278,17525.97,177.03,17703,2529
" $4,335.00 ",4335,Canada,09-01-2014,Low,$173.40," $17,340.00 ",$3.00,September,9,Carretera," $12,831.60 ",$12.00," $17,166.60 ",Channel Partners," $1,445.00 ",2014,2014,173.4,0.252525253,173.4,17340,12831.6,0.747474747,17166.6,173.4,17340,1445
" $39,600.00 ",39600,United States of America,09-01-2013,Low,$412.50," $41,250.00 ",$3.00,September,9,Carretera," $1,237.50 ",$125.00," $40,837.50 ",Enterprise,$330.00,2013,2013,412.5,0.969696970,412.5,41250,1237.5,0.030303030,40837.5,412.5,41250,330
" $8,013.00 ",8013,France,09-01-2014,Low,$320.52," $32,052.00 ",$3.00,September,9,Carretera," $23,718.48 ",$12.00," $31,731.48 ",Channel Partners," $2,671.00 ",2014,2014,320.52,0.252525253,320.52,32052,23718.48,0.747474747,31731.48,320.52,32052,2671
" $2,298.00 ",2298,Germany,10-01-2013,Low,$91.92," $9,192.00 ",$3.00,October,10,Carretera," $6,802.08 ",$12.00," $9,100.08 ",Channel Partners,$766.00,2013,2013,91.92,0.252525253,91.92,9192,6802.08,0.747474747,9100.08,91.92,9192,766
" $123,500.00 ",123500,Mexico,10-01-2013,Low," $1,482.00 "," $148,200.00 ",$3.00,October,10,Carretera," $23,218.00 ",$300.00," $146,718.00 ",Small Business,$494.00,2013,2013,1482,0.841750842,1482,148200,23218,0.158249158,146718,1482,148200,494
" $363,220.00 ",363220,Mexico,10-01-2014,Low," $4,889.50 "," $488,950.00 ",$3.00,October,10,Carretera," $120,840.50 ",$350.00," $484,060.50 ",Government," $1,397.00 ",2014,2014,4889.5,0.750360750,4889.5,488950,120840.5,0.249639250,484060.5,4889.5,488950,1397
" $560,300.00 ",560300,France,12-01-2014,Low," $7,542.50 "," $754,250.00 ",$3.00,December,12,Carretera," $186,407.50 ",$350.00," $746,707.50 ",Government," $2,155.00 ",2014,2014,7542.5,0.750360750,7542.5,754250,186407.5,0.249639250,746707.5,7542.5,754250,2155
" $22,140.00 ",22140,Mexico,03-01-2014,Low,$332.10," $33,210.00 ",$5.00,March,3,Montana," $10,737.90 ",$15.00," $32,877.90 ",Midmarket," $2,214.00 ",2014,2014,332.1,0.673400673,332.1,33210,10737.9,0.326599327,32877.9,332.1,33210,2214
" $575,250.00 ",575250,United States of America,04-01-2014,Low," $6,903.00 "," $690,300.00 ",$5.00,April,4,Montana," $108,147.00 ",$300.00," $683,397.00 ",Small Business," $2,301.00 ",2014,2014,6903,0.841750842,6903,690300,108147,0.158249158,683397,6903,690300,2301
" $13,755.00 ",13755,France,07-01-2014,Low,$275.10," $27,510.00 ",$5.00,July,7,Montana," $13,479.90 ",$20.00," $27,234.90 ",Government," $1,375.50 ",2014,2014,275.1,0.505050505,275.1,27510,13479.9,0.494949495,27234.9,275.1,27510,1375.5
" $9,150.00 ",9150,Canada,08-01-2014,Low,$128.10," $12,810.00 ",$5.00,August,8,Montana," $3,531.90 ",$7.00," $12,681.90 ",Government," $1,830.00 ",2014,2014,128.1,0.721500722,128.1,12810,3531.9,0.278499278,12681.9,128.1,12810,1830
" $624,500.00 ",624500,United States of America,09-01-2013,Low," $7,494.00 "," $749,400.00 ",$5.00,September,9,Montana," $117,406.00 ",$300.00," $741,906.00 ",Small Business," $2,498.00 ",2013,2013,7494,0.841750842,7494,749400,117406,0.158249158,741906,7494,749400,2498
" $79,560.00 ",79560,United States of America,10-01-2013,Low,$828.75," $82,875.00 ",$5.00,October,10,Montana," $2,486.25 ",$125.00," $82,046.25 ",Enterprise,$663.00,2013,2013,828.75,0.969696970,828.75,82875,2486.25,0.030303030,82046.25,828.75,82875,663
" $15,140.00 ",15140,United States of America,02-01-2014,Low,$227.10," $22,710.00 ",$10.00,February,2,Paseo," $7,342.90 ",$15.00," $22,482.90 ",Midmarket," $1,514.00 ",2014,2014,227.1,0.673400673,227.1,22710,7342.9,0.326599327,22482.9,227.1,22710,1514
" $22,462.50 ",22462.5,United States of America,04-01-2014,Low,$314.48," $31,447.50 ",$10.00,April,4,Paseo," $8,670.52 ",$7.00," $31,133.02 ",Government," $4,492.50 ",2014,2014,314.48,0.721500837,314.48,31447.5,8670.52,0.278499163,31133.02,314.48,31447.5,4492.5
" $87,240.00 ",87240,United States of America,06-01-2014,Low,$908.75," $90,875.00 ",$10.00,June,6,Paseo," $2,726.25 ",$125.00," $89,966.25 ",Enterprise,$727.00,2014,2014,908.75,0.969696970,908.75,90875,2726.25,0.030303030,89966.25,908.75,90875,727
" $94,440.00 ",94440,France,06-01-2014,Low,$983.75," $98,375.00 ",$10.00,June,6,Paseo," $2,951.25 ",$125.00," $97,391.25 ",Enterprise,$787.00,2014,2014,983.75,0.969696970,983.75,98375,2951.25,0.030303030,97391.25,983.75,98375,787
" $218,760.00 ",218760,Mexico,07-01-2014,Low," $2,278.75 "," $227,875.00 ",$10.00,July,7,Paseo," $6,836.25 ",$125.00," $225,596.25 ",Enterprise," $1,823.00 ",2014,2014,2278.75,0.969696970,2278.75,227875,6836.25,0.030303030,225596.25,2278.75,227875,1823
" $7,470.00 ",7470,Germany,09-01-2014,Low,$112.05," $11,205.00 ",$10.00,September,9,Paseo," $3,622.95 ",$15.00," $11,092.95 ",Midmarket,$747.00,2014,2014,112.05,0.673400673,112.05,11205,3622.95,0.326599327,11092.95,112.05,11205,747
" $2,298.00 ",2298,Germany,10-01-2013,Low,$91.92," $9,192.00 ",$10.00,October,10,Paseo," $6,802.08 ",$12.00," $9,100.08 ",Channel Partners,$766.00,2013,2013,91.92,0.252525253,91.92,9192,6802.08,0.747474747,9100.08,91.92,9192,766
" $726,250.00 ",726250,United States of America,11-01-2014,Low," $8,715.00 "," $871,500.00 ",$10.00,November,11,Paseo," $136,535.00 ",$300.00," $862,785.00 ",Small Business," $2,905.00 ",2014,2014,8715,0.841750842,8715,871500,136535,0.158249158,862785,8715,871500,2905
" $560,300.00 ",560300,France,12-01-2014,Low," $7,542.50 "," $754,250.00 ",$10.00,December,12,Paseo," $186,407.50 ",$350.00," $746,707.50 ",Government," $2,155.00 ",2014,2014,7542.5,0.750360750,7542.5,754250,186407.5,0.249639250,746707.5,7542.5,754250,2155
" $38,640.00 ",38640,France,04-01-2014,Low,$772.80," $77,280.00 ",$120.00,April,4,Velo," $37,867.20 ",$20.00," $76,507.20 ",Government," $3,864.00 ",2014,2014,772.8,0.505050505,772.8,77280,37867.2,0.494949495,76507.2,772.8,77280,3864
" $1,810.00 ",1810,Mexico,05-01-2014,Low,$25.34," $2,534.00 ",$120.00,May,5,Velo,$698.66,$7.00," $2,508.66 ",Government,$362.00,2014,2014,25.34,0.721500722,25.34,2534,698.66,0.278499278,2508.66,25.34,2534,362
" $110,760.00 ",110760,Canada,08-01-2014,Low," $1,153.75 "," $115,375.00 ",$120.00,August,8,Velo," $3,461.25 ",$125.00," $114,221.25 ",Enterprise,$923.00,2014,2014,1153.75,0.969696970,1153.75,115375,3461.25,0.030303030,114221.25,1153.75,115375,923
" $79,560.00 ",79560,United States of America,10-01-2013,Low,$828.75," $82,875.00 ",$120.00,October,10,Velo," $2,486.25 ",$125.00," $82,046.25 ",Enterprise,$663.00,2013,2013,828.75,0.969696970,828.75,82875,2486.25,0.030303030,82046.25,828.75,82875,663
" $10,460.00 ",10460,Canada,11-01-2013,Low,$146.44," $14,644.00 ",$120.00,November,11,Velo," $4,037.56 ",$7.00," $14,497.56 ",Government," $2,092.00 ",2013,2013,146.44,0.721500722,146.44,14644,4037.56,0.278499278,14497.56,146.44,14644,2092
" $1,315.00 ",1315,Germany,03-01-2014,Low,$18.41," $1,841.00 ",$250.00,March,3,VTT,$507.59,$7.00," $1,822.59 ",Government,$263.00,2014,2014,18.41,0.721500722,18.41,1841,507.59,0.278499278,1822.59,18.41,1841,263
" $245,310.00 ",245310,Canada,04-01-2014,Low," $3,302.25 "," $330,225.00 ",$250.00,April,4,VTT," $81,612.75 ",$350.00," $326,922.75 ",Government,$943.50,2014,2014,3302.25,0.750360750,3302.25,330225,81612.75,0.249639250,326922.75,3302.25,330225,943.5
" $87,240.00 ",87240,United States of America,06-01-2014,Low,$908.75," $90,875.00 ",$250.00,June,6,VTT," $2,726.25 ",$125.00," $89,966.25 ",Enterprise,$727.00,2014,2014,908.75,0.969696970,908.75,90875,2726.25,0.030303030,89966.25,908.75,90875,727
" $94,440.00 ",94440,France,06-01-2014,Low,$983.75," $98,375.00 ",$250.00,June,6,VTT," $2,951.25 ",$125.00," $97,391.25 ",Enterprise,$787.00,2014,2014,983.75,0.969696970,983.75,98375,2951.25,0.030303030,97391.25,983.75,98375,787
" $246,500.00 ",246500,Germany,09-01-2014,Low," $2,958.00 "," $295,800.00 ",$250.00,September,9,VTT," $46,342.00 ",$300.00," $292,842.00 ",Small Business,$986.00,2014,2014,2958,0.841750842,2958,295800,46342,0.158249158,292842,2958,295800,986
" $123,500.00 ",123500,Mexico,10-01-2013,Low," $1,482.00 "," $148,200.00 ",$250.00,October,10,VTT," $23,218.00 ",$300.00," $146,718.00 ",Small Business,$494.00,2013,2013,1482,0.841750842,1482,148200,23218,0.158249158,146718,1482,148200,494
" $363,220.00 ",363220,Mexico,10-01-2014,Low," $4,889.50 "," $488,950.00 ",$250.00,October,10,VTT," $120,840.50 ",$350.00," $484,060.50 ",Government," $1,397.00 ",2014,2014,4889.5,0.750360750,4889.5,488950,120840.5,0.249639250,484060.5,4889.5,488950,1397
" $209,280.00 ",209280,France,11-01-2014,Low," $2,180.00 "," $218,000.00 ",$250.00,November,11,VTT," $6,540.00 ",$125.00," $215,820.00 ",Enterprise," $1,744.00 ",2014,2014,2180,0.969696970,2180,218000,6540,0.030303030,215820,2180,218000,1744
" $5,967.00 ",5967,United States of America,09-01-2013,Low,$238.68," $23,868.00 ",$260.00,September,9,Amarilla," $17,662.32 ",$12.00," $23,629.32 ",Channel Partners," $1,989.00 ",2013,2013,238.68,0.252525253,238.68,23868,17662.32,0.747474747,23629.32,238.68,23868,1989
" $3,210.00 ",3210,France,11-01-2013,Low,$48.15," $4,815.00 ",$260.00,November,11,Amarilla," $1,556.85 ",$15.00," $4,766.85 ",Midmarket,$321.00,2013,2013,48.15,0.673400673,48.15,4815,1556.85,0.326599327,4766.85,48.15,4815,321
" $89,100.00 ",89100,Canada,04-01-2014,Low," $1,856.25 "," $92,812.50 ",$3.00,April,4,Carretera," $1,856.25 ",$125.00," $90,956.25 ",Enterprise,$742.50,2014,2014,1856.25,0.979591837,1856.25,92812.5,1856.25,0.020408163,90956.25,1856.25,92812.5,742.5
" $3,885.00 ",3885,Canada,10-01-2014,Low,$310.80," $15,540.00 ",$3.00,October,10,Carretera," $11,344.20 ",$12.00," $15,229.20 ",Channel Partners," $1,295.00 ",2014,2014,310.8,0.255102041,310.8,15540,11344.2,0.744897959,15229.2,310.8,15540,1295
" $53,500.00 ",53500,Germany,10-01-2013,Low," $1,284.00 "," $64,200.00 ",$3.00,October,10,Carretera," $9,416.00 ",$300.00," $62,916.00 ",Small Business,$214.00,2013,2013,1284,0.850340136,1284,64200,9416,0.149659864,62916,1284,64200,214
" $10,725.00 ",10725,France,11-01-2013,Low,$300.30," $15,015.00 ",$3.00,November,11,Carretera," $3,989.70 ",$7.00," $14,714.70 ",Government," $2,145.00 ",2013,2013,300.3,0.728862974,300.3,15015,3989.7,0.271137026,14714.7,300.3,15015,2145
" $741,520.00 ",741520,Canada,12-01-2014,Low," $19,964.00 "," $998,200.00 ",$3.00,December,12,Carretera," $236,716.00 ",$350.00," $978,236.00 ",Government," $2,852.00 ",2014,2014,19964,0.758017493,19964,998200,236716,0.241982507,978236,19964,998200,2852
" $3,426.00 ",3426,United States of America,06-01-2014,Low,$274.08," $13,704.00 ",$5.00,June,6,Montana," $10,003.92 ",$12.00," $13,429.92 ",Channel Partners," $1,142.00 ",2014,2014,274.08,0.255102041,274.08,13704,10003.92,0.744897959,13429.92,274.08,13704,1142
